Asset SubType;RIC;Trade Date;Ask;Bid;Settlement Price
FUT;SETH27;2026-09-04;;;118.6
FUT;SETH28;2026-09-04;;;293.6
FUT;SETH29;2026-09-04;;;453.6
FUT;SETH30;2026-09-04;;;613.6
FUT;SETH31;2026-09-04;;;773.6
FUT;SETM27;2026-09-04;;;163.6
FUT;SETM28;2026-09-04;;;333.6
FUT;SETM29;2026-09-04;;;493.6
FUT;SETM30;2026-09-04;;;653.6
FUT;SETM31;2026-09-04;;;813.6
FUT;SETU26;2026-09-04;;;6.45
FUT;SETU27;2026-09-04;;;208.6
FUT;SETU28;2026-09-04;;;373.6
FUT;SETU29;2026-09-04;;;533.6
FUT;SETU30;2026-09-04;;;693.6
FUT;SETU31;2026-09-04;;;853.6
FUT;SETZ26;2026-09-04;;;73.6
FUT;SETZ27;2026-09-04;;;253.6
FUT;SETZ28;2026-09-04;;;413.6
FUT;SETZ29;2026-09-04;;;573.6
FUT;SETZ30;2026-09-04;;;733.6
