#RIC;Alias Underlying RIC;Domain;Date-Time;GMT Offset;Type;Bid Price;Bid Size;Ask Price;Ask Size
SETU26;;Market Price;2026-09-04T11:47:05.376472448Z;-5;Quote;;;7.95;50
SETU26;;Market Price;2026-09-04T12:51:24.021445947Z;-5;Quote;;;7.75;50
SETU26;;Market Price;2026-09-04T13:18:16.741357351Z;-5;Quote;-0.3;40;7.75;50
SETU26;;Market Price;2026-09-04T13:18:18.912207089Z;-5;Quote;;;7.75;50
SETU26;;Market Price;2026-09-04T13:18:40.111664386Z;-5;Quote;2.8;40;7.75;50
SETU26;;Market Price;2026-09-04T13:18:42.111202347Z;-5;Quote;;;7.75;50
SETU26;;Market Price;2026-09-04T13:22:06.281273176Z;-5;Quote;2.25;1;7.75;50
SETU26;;Market Price;2026-09-04T13:23:38.241581839Z;-5;Quote;2.25;1;7.7;20
SETU26;;Market Price;2026-09-04T13:28:46.181239875Z;-5;Quote;2.25;1;7.75;50
SETU26;;Market Price;2026-09-04T13:28:50.186750768Z;-5;Quote;2.25;1;7.7;20
SETU26;;Market Price;2026-09-04T13:29:56.837146227Z;-5;Quote;2.3;100;7.7;20
SETU26;;Market Price;2026-09-04T13:29:57.201235931Z;-5;Quote;2.3;200;7.7;20
SETU26;;Market Price;2026-09-04T13:29:58.532092927Z;-5;Quote;2.3;300;7.7;20
SETU26;;Market Price;2026-09-04T13:29:59.397034838Z;-5;Quote;2.3;300;7.75;50
SETU26;;Market Price;2026-09-04T13:29:59.592173077Z;-5;Quote;2.3;400;7.75;50
SETU26;;Market Price;2026-09-04T13:30:00.046174753Z;-5;Quote;2.3;500;7.75;50
SETU26;;Market Price;2026-09-04T13:30:00.727745907Z;-5;Quote;2.3;600;7.75;50
SETU26;;Market Price;2026-09-04T13:30:01.107620976Z;-5;Quote;2.35;10;7.75;50
SETU26;;Market Price;2026-09-04T13:30:01.107620976Z;-5;Quote;2.35;10;7.7;10
SETU26;;Market Price;2026-09-04T13:30:01.107620976Z;-5;Quote;2.35;20;7.7;10
SETU26;;Market Price;2026-09-04T13:30:01.107620976Z;-5;Quote;2.35;20;7.7;20
SETU26;;Market Price;2026-09-04T13:30:01.514959431Z;-5;Quote;2.4;10;7.7;20
SETU26;;Market Price;2026-09-04T13:30:01.515819414Z;-5;Quote;2.4;10;7.65;10
SETU26;;Market Price;2026-09-04T13:30:01.515819414Z;-5;Quote;2.4;10;7.65;20
SETU26;;Market Price;2026-09-04T13:30:01.515819414Z;-5;Quote;2.45;10;7.65;20
SETU26;;Market Price;2026-09-04T13:30:01.515819414Z;-5;Quote;2.45;20;7.65;20
SETU26;;Market Price;2026-09-04T13:30:01.515819414Z;-5;Quote;2.45;20;7.65;30
SETU26;;Market Price;2026-09-04T13:30:01.515819414Z;-5;Quote;2.45;20;7.65;40
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.45;20;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;30;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;40;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;50;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;60;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;70;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;80;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;100;7.65;51
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;100;7.6;10
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;100;7.6;40
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;100;7.6;50
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;110;7.6;50
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;110;7.6;60
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;120;7.6;60
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;130;7.6;60
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;130;7.6;70
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;130;7.6;80
SETU26;;Market Price;2026-09-04T13:30:02.863843098Z;-5;Quote;2.5;130;7.6;90
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.55;10;7.6;90
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.55;10;7.55;10
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.55;10;7.55;20
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;30;7.55;20
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;40;7.55;20
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;50;7.55;20
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;60;7.55;20
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;60;7.55;50
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;70;7.55;50
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;70;7.55;60
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;70;7.55;70
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;90;7.55;70
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;100;7.55;70
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;110;7.55;70
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;120;7.55;70
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;120;7.55;80
SETU26;;Market Price;2026-09-04T13:30:03.001126409Z;-5;Quote;2.6;120;7.55;90
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.65;10;7.55;90
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.65;10;7.5;10
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.65;10;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;10;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;20;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;30;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;40;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;60;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;70;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;100;7.5;20
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;100;7.5;30
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;100;7.5;40
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;100;7.5;50
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;100;7.5;80
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;110;7.5;80
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;120;7.5;80
SETU26;;Market Price;2026-09-04T13:30:03.421666783Z;-5;Quote;2.7;120;7.5;90
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.7;120;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;10;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;20;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;30;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;40;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;50;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;60;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;80;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;110;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;120;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.305267294Z;-5;Quote;2.75;130;7.45;10
SETU26;;Market Price;2026-09-04T13:30:05.310236969Z;-5;Quote;2.75;130;7.4;30
SETU26;;Market Price;2026-09-04T13:30:05.310236969Z;-5;Quote;2.75;130;7.4;40
SETU26;;Market Price;2026-09-04T13:30:05.310236969Z;-5;Quote;2.75;130;7.4;50
SETU26;;Market Price;2026-09-04T13:30:05.310236969Z;-5;Quote;2.75;130;7.4;60
SETU26;;Market Price;2026-09-04T13:30:05.310236969Z;-5;Quote;2.75;130;7.4;70
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;10;7.4;70
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;30;7.4;70
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;40;7.4;70
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;40;7.35;10
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;50;7.35;10
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;60;7.35;10
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;70;7.35;10
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;70;7.35;20
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;100;7.35;20
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;100;7.35;30
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;110;7.35;30
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;120;7.35;30
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;130;7.35;30
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;130;7.35;60
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;130;7.35;70
SETU26;;Market Price;2026-09-04T13:30:05.371572153Z;-5;Quote;2.8;130;7.35;80
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;30;7.35;80
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;50;7.35;80
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;50;7.3;30
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;60;7.3;30
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;70;7.3;30
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;70;7.3;40
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;80;7.3;40
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;90;7.3;40
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;90;7.3;50
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;100;7.3;50
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;110;7.3;50
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;110;7.3;60
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;120;7.3;60
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;120;7.3;70
SETU26;;Market Price;2026-09-04T13:30:05.806085141Z;-5;Quote;2.85;120;7.3;80
SETU26;;Market Price;2026-09-04T13:30:05.826991499Z;-5;Quote;2.9;10;7.3;80
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;2.95;10;7.3;80
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;10;7.3;80
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;20;7.3;80
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;40;7.3;80
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;40;7.25;10
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;50;7.25;10
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;60;7.25;10
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;60;7.25;20
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;60;7.25;30
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;90;7.25;30
SETU26;;Market Price;2026-09-04T13:30:06.061638834Z;-5;Quote;3;100;7.25;30
